row_id,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
725,69748,Prodaja,Stan,4,3,0,0,EG,Beograd,Opština Zvezdara,Mirijevo,72,,DA,DA,,Novogradnja,89000,44.799164,20.521012,0.07267886240166423,1.0
726,69749,Prodaja,Stan,3,7,7,0,CG,Beograd,Opština Voždovac,Voždovačka crkva,101,DA,DA,DA,DA,,197000,44.778752,20.473888,0.04973431057127856,3.0
727,69750,Prodaja,Stan,4,11,9,0,CG,Beograd,Opština Novi Beograd,Blok 62,86,,DA,DA,DA,Stara gradnja,128000,44.804037,20.381646,0.0736281446527081,2.0
728,69751,Prodaja,Stan,4,5,4,0,CG,Beograd,Opština Voždovac,Autokomanda,90,,DA,,,,210000,44.7827,20.4695,0.0443464767484443,3.0
729,69752,Prodaja,Stan,3,5,3,0,CG,Beograd,Opština Zemun,Meandri,84,,DA,,DA,,126000,44.8487,20.3821,0.0748014037301427,3.0
730,69753,Prodaja,Stan,3,2,1,0,CG,Beograd,Opština Voždovac,Kumodraška,63,,DA,,,,107000,44.7733,20.4806,0.05765552878952948,3.0
731,69754,Prodaja,Stan,4,5,3,0,CG,Beograd,Opština Stari grad,Centar,87,,DA,DA,DA,,170000,44.8146,20.4712,0.020706762180506155,3.0
732,69755,Prodaja,Stan,3,4,3,0,CG,Beograd,Opština Stari grad,Centar,64,,,DA,,,128000,44.8127,20.4778,0.027496181553080534,3.0
733,69756,Prodaja,Stan,2,13,10,0,CG,Beograd,Opština Novi Beograd,Opština,43,,DA,,DA,,79000,44.8275,20.4051,0.04765175757514021,3.0
734,69758,Prodaja,Stan,2,7,2,0,CG,Beograd,Opština Palilula,Karaburma,50,,DA,,,,75900,44.8034,20.5266,0.0767338908175499,3.0
735,69759,Prodaja,Stan,3,7,0,0,CG,Beograd,Opština Zvezdara,Konjarnik,55,,DA,,DA,Stara gradnja,88000,44.782651,20.502295,0.06445629081788731,2.0
736,69760,Prodaja,Stan,3,6,1,0,CG,Beograd,Opština Novi Beograd,Hotel Jugoslavija,78,,DA,DA,DA,Stara gradnja,175000,44.830339,20.408321,0.04477394512436842,2.0
737,69761,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Voždovac,Hotel M,43,,DA,DA,,Novogradnja,80000,44.7684,20.47763,0.0607008311310507,1.0
738,69762,Prodaja,Stan,3,10,3,0,CG,Beograd,Opština Novi Beograd,Blok 64,75,,DA,DA,DA,Novogradnja,170455,44.814595,20.392952,0.0603389172010901,1.0
739,69763,Prodaja,Stan,2,12,10,0,CG,Beograd,Opština Stari grad,Dorćol,74,,DA,DA,DA,,167000,44.8246,20.4617,0.009144397191723018,3.0
740,69764,Prodaja,Stan,2,5,3,0,CG,Beograd,Opština Palilula,Tašmajdan,57,,DA,DA,DA,Stara gradnja,155000,44.807939,20.46909,0.02281072600773996,2.0
741,69765,Prodaja,Stan,4,4,4,0,CG,Beograd,Opština Novi Beograd,Fontana,110,,DA,DA,,,187000,44.822448,20.404485,0.04813128638422133,3.0
742,69766,Prodaja,Stan,4,4,2,0,Gas,Beograd,Opština Čukarica,Banovo brdo,102,DA,DA,DA,DA,Novogradnja,235000,44.776161,20.414334,0.061026578447427746,1.0
743,69767,Prodaja,Stan,1,5,4,0,Toplotne pumpe,Beograd,Opština Voždovac,Autokomanda,30,DA,DA,,DA,Novogradnja,68200,44.785132,20.472367,0.04333849227880815,1.0
744,69768,Prodaja,Stan,3,4,4,0,CG,Beograd,Opština Voždovac,Dušanovac,75,DA,DA,DA,,Stara gradnja,116000,44.786457,20.484217,0.04885361540357395,2.0
745,69770,Prodaja,Stan,2,0,2,0,TA,Beograd,Opština Zemun,Donji grad,59,,DA,DA,,,109000,44.8436,20.4081,0.048746897337163225,3.0
746,69771,Prodaja,Stan,4,3,2,0,EG,Beograd,Opština Zvezdara,Vukov Spomenik,96,DA,DA,DA,,Stara gradnja,195000,44.806,20.4794,0.03211744074486733,2.0
747,69772,Prodaja,Stan,4,5,1,0,EG,Beograd,Opština Vračar,Slavija,111,,DA,DA,,Stara gradnja,298500,44.801208,20.47013,0.028516503362088646,2.0
748,69773,Prodaja,Stan,2,3,1,0,EG,Beograd,Opština Voždovac,Dušanovac,39,,DA,DA,,Novogradnja,76000,44.7878,20.4862,0.04917082468293937,1.0
749,69774,Prodaja,Stan,1,0,3,0,CG,Beograd,Opština Čukarica,Banovo brdo,30,,DA,,,,60000,44.773107,20.415464,0.06275933512235404,3.0
