,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
3486,73983,Prodaja,Stan,2,10,4,0,CG,Beograd,Opština Novi Beograd,Blok 67 (Belvil),60,,DA,,DA,Novogradnja,156000,44.806,20.411,0.04520895928906227,1.0
3490,73991,Prodaja,Stan,2,7,4,0,CG,Beograd,Opština Zvezdara,Gradska bolnica,37,,DA,,DA,Novogradnja,81700,44.8036,20.4877,0.04044774406564558,1.0
3491,73992,Prodaja,Stan,3,5,1,0,EG,Beograd,Opština Palilula,Bogoslovija,57,DA,,DA,DA,Novogradnja,103000,44.8154,20.4962,0.04438299223802081,1.0
3492,73994,Prodaja,Stan,3,2,2,0,CG,Beograd,Opština Vračar,Kalenić pijaca,91,,DA,DA,,Stara gradnja,135000,44.7949,20.478,0.038400520829804996,2.0
3493,73995,Prodaja,Stan,2,7,6,0,CG,Beograd,Opština Zvezdara,Gradska bolnica,39,,DA,,DA,Novogradnja,77500,44.8036,20.4877,0.04044774406564558,1.0
3494,73996,Prodaja,Stan,2,5,2,0,CG,Beograd,Opština Vračar,Hram svetog Save,58,,DA,DA,DA,Stara gradnja,185000,44.802666,20.471596,0.02834214480239737,2.0
3495,74001,Prodaja,Stan,4,4,3,0,CG,Beograd,Opština Novi Beograd,Blok 45 (TC Enjub),106,DA,DA,,,Stara gradnja,185000,44.79583,20.376385,0.08115086644639227,2.0
3496,74002,Prodaja,Stan,2,6,4,0,CG,Beograd,Opština Voždovac,Šumice,71,DA,DA,,DA,Stara gradnja,130000,44.78351,20.495269,0.05861637707160189,2.0
3497,74003,Prodaja,Stan,2,4,2,0,TA,Beograd,Opština Novi Beograd,Stara Bežanija,56,DA,DA,,,Stara gradnja,92000,44.812,20.386,0.06761989352254451,2.0
3498,74004,Prodaja,Stan,2,3,3,0,,Beograd,Opština Rakovica,Centar,34,,DA,,,Stara gradnja,49000,44.7412,20.4291,0.08578169968006354,2.0
3499,74005,Prodaja,Stan,2,7,3,0,CG,Beograd,Opština Zvezdara,Gradska bolnica,41,,DA,,DA,Novogradnja,80500,44.8036,20.4877,0.04044774406564558,1.0
3500,74010,Prodaja,Stan,2,5,2,0,CG,Beograd,Opština Zvezdara,Đeram pijaca,48,,DA,DA,DA,Novogradnja,101900,44.800519,20.491896,0.04562383562349908,1.0
3501,74011,Prodaja,Stan,3,6,1,0,CG,Beograd,Opština Zvezdara,Konjarnik,66,,DA,,DA,Stara gradnja,99000,44.7802,20.5071,0.06973162840490849,2.0
3503,74017,Prodaja,Stan,2,9,9,0,CG,Beograd,Opština Zvezdara,Mirijevo,62,,,DA,,Stara gradnja,54000,44.790594,20.531812,0.08585189677578457,2.0
3506,74022,Prodaja,Stan,2,3,3,0,EG,Beograd,Opština Zemun,Batajnica,40,,,,,Novogradnja,44000,44.901967,20.284623,0.18531593514320255,1.0
3508,74027,Prodaja,Stan,2,1,0,0,Gas,Beograd,Opština Čukarica,Bele vode,41,,DA,,,Stara gradnja,54000,44.749276,20.40766,0.08693983768100853,2.0
3509,74028,Prodaja,Stan,3,4,4,0,TA,Beograd,Opština Zemun,Altina,59,,DA,,,Novogradnja,72000,44.8588,20.3507,0.10777578577769732,1.0
3510,74030,Prodaja,Stan,4,6,3,0,CG,Beograd,Opština Vračar,Hram svetog Save,110,,DA,,DA,Stara gradnja,230000,44.7996,20.471,0.03032111475523607,2.0
3511,74033,Prodaja,Stan,3,5,5,0,CG,Beograd,Opština Čukarica,Banovo brdo,84,,DA,,,Stara gradnja,155000,44.782,20.4168,0.054959348613321635,2.0
3513,74035,Prodaja,Stan,2,2,0,0,EG,Beograd,Opština Zemun,Batajnica,34,,,,,Novogradnja,44880,44.899392,20.282563,0.18612323936843486,1.0
3514,74036,Prodaja,Stan,4,6,0,0,CG,Beograd,Opština Voždovac,Vojislava Ilića,97,,DA,,DA,Stara gradnja,170000,44.7927,20.493,0.05092307924703476,2.0
3515,74037,Prodaja,Stan,2,5,2,0,EG,Beograd,Opština Palilula,Karaburma,48,DA,,DA,DA,Novogradnja,76800,44.8159,20.4978,0.04586807168390842,1.0
3516,74038,Prodaja,Stan,2,8,1,0,CG,Beograd,Opština Savski venac,Palata pravde,40,,DA,,DA,Stara gradnja,99900,44.8015,20.4517,0.02221823575354779,2.0
3518,74041,Prodaja,Stan,4,0,28,0,CG,Beograd,Opština Novi Beograd,Blok 65,124,DA,DA,,DA,Novogradnja,510000,44.8128,20.4031,0.05068589547398935,1.0
3520,74045,Prodaja,Stan,2,2,0,0,EG,Beograd,Opština Zemun,Batajnica,41,,,,,Novogradnja,54100,44.897297,20.288827,0.17954975337771872,1.0
3521,74046,Prodaja,Stan,4,4,3,0,EG,Beograd,Opština Vračar,Maksima Gorkog,124,DA,DA,DA,,Novogradnja,205000,44.795088,20.484164,0.04260202624289262,1.0
3523,74048,Prodaja,Stan,3,2,0,0,Gas,Beograd,Opština Čukarica,Bele vode,71,DA,DA,DA,,Novogradnja,81650,44.7393,20.3931,0.10326475681470598,1.0
3524,74049,Prodaja,Stan,3,3,0,0,EG,Beograd,Opština Zvezdara,Kluz,54,,DA,DA,,Novogradnja,88020,44.7872,20.5181,0.07498333148107177,1.0
3525,74051,Prodaja,Stan,4,8,3,0,CG,Beograd,Opština Stari grad,Centar,83,,DA,DA,DA,Stara gradnja,177900,44.8279,20.4596,0.008163332652780237,2.0
3526,74053,Prodaja,Stan,2,5,0,0,CG,Beograd,Opština Novi Beograd,Paviljoni,54,DA,DA,,,Stara gradnja,102000,44.830514,20.405655,0.04743694363046659,2.0
3528,74055,Prodaja,Stan,3,17,7,0,CG,Beograd,Opština Savski venac,Beograd na vodi,110,,DA,DA,DA,Novogradnja,332888,44.8122,20.4511,0.01159741350474834,1.0
3530,74058,Prodaja,Stan,1,5,0,0,CG,Beograd,Opština Stari grad,Skupština,31,,DA,,,Stara gradnja,75000,44.8124,20.4646,0.016483021567665873,2.0
3531,74059,Prodaja,Stan,3,13,8,0,CG,Beograd,Opština Voždovac,Trošarina,80,,DA,DA,DA,Stara gradnja,115000,44.7609,20.4799,0.06847722249040462,2.0
3534,74062,Prodaja,Stan,2,3,0,0,EG,Beograd,Opština Voždovac,Lekino brdo,33,,,DA,,Novogradnja,65000,44.789,20.4842,0.04693239819144254,1.0
3535,74063,Prodaja,Stan,2,1,0,0,Gas,Beograd,Opština Čukarica,Vodovodska,71,DA,DA,DA,,Novogradnja,81300,44.7419,20.397,0.09890702705066211,1.0
3536,74065,Prodaja,Stan,4,5,2,0,TA,Beograd,Opština Savski venac,Centar,103,,DA,DA,,Stara gradnja,205000,44.80509,20.456535,0.019021470106174217,2.0
3537,74066,Prodaja,Stan,4,3,1,0,CG,Beograd,Opština Voždovac,Trošarina,125,,DA,,,Novogradnja,220000,44.7602,20.4833,0.07053183678311926,1.0
3538,74067,Prodaja,Stan,2,0,0,0,TA,Beograd,Opština Zemun,Centar,47,DA,DA,DA,,Stara gradnja,62000,44.844646,20.410898,0.04666681604737844,2.0
3539,74070,Prodaja,Stan,4,8,3,0,CG,Beograd,Opština Stari grad,Dorćol,83,,DA,DA,DA,Stara gradnja,177900,44.8279,20.4596,0.008163332652780237,2.0
3541,74072,Prodaja,Stan,4,2,1,0,Podno,Beograd,Opština Savski venac,Dedinje,167,DA,,DA,DA,Novogradnja,651000,44.77605,20.46188,0.04854524590524213,1.0
3543,74075,Prodaja,Stan,1,6,0,0,CG,Beograd,Opština Čukarica,Banovo brdo,43,,,DA,DA,Stara gradnja,77000,44.7726,20.4097,0.06672046162910215,2.0
