29071,Izdavanje,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Hotel Jugoslavija,31,,,DA,DA,,330
29072,Izdavanje,Stan,3,6,1,0,CG,Beograd,Opština Novi Beograd,Blok 19a,102,,,DA,DA,Stara gradnja,700
29075,Izdavanje,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Blok 22,66,DA,,DA,DA,Novogradnja,600
29076,Izdavanje,Stan,3,6,2,0,CG,Beograd,Opština Novi Beograd,Blok 22,76,,,DA,DA,,500
29077,Izdavanje,Stan,2,0,2,0,CG,Beograd,Opština Novi Beograd,Blok 22,66,DA,,DA,DA,Novogradnja,600
29078,Izdavanje,Stan,4,12,4,0,CG,Beograd,Opština Novi Beograd,Blok 38,75,DA,,DA,DA,Novogradnja,600
29079,Izdavanje,Stan,2,12,4,0,CG,Beograd,Opština Novi Beograd,Blok 38,67,DA,,DA,DA,,600
29080,Izdavanje,Stan,3,0,0,0,CG,Beograd,Opština Stari grad,Doræol,70,,,,,Novogradnja,700
29081,Izdavanje,Stan,1,0,3,0,CG,Beograd,Opština Savski venac,Kneza Miloša,30,,,,DA,Novogradnja,600
29082,Izdavanje,Stan,3,6,5,0,CG,Beograd,Opština Stari grad,Politika,68,DA,,,DA,Stara gradnja,500
29084,Izdavanje,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Blok 63,47,,,,DA,Novogradnja,350
29085,Izdavanje,Stan,3,7,3,0,CG,Beograd,Opština Vraèar,Crveni krst,90,,,DA,DA,Novogradnja,500
29086,Izdavanje,Stan,3,5,4,0,CG,Beograd,Opština Vraèar,Južni bulevar,63,,,DA,DA,Novogradnja,500
29087,Izdavanje,Stan,2,3,1,0,CG,Beograd,Opština Voždovac,Lekino brdo,45,,,DA,DA,Novogradnja,400
29088,Izdavanje,Stan,1,3,2,0,EG,Beograd,Opština Zemun,Gornji grad,33,,,,,,250
29090,Izdavanje,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,70,,,DA,DA,,400
29091,Izdavanje,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Blok 63,47,,,DA,DA,,350
29092,Izdavanje,Stan,2,1,0,0,CG,Beograd,Opština Voždovac,Bulevar osloboðenja,62,DA,,DA,,Stara gradnja,400
29093,Izdavanje,Stan,5,1,0,0,,Beograd,Opština Zemun,Pregrevica,250,DA,,DA,,,1900
29094,Izdavanje,Stan,3,7,5,0,CG,Beograd,Opština Vraèar,Kaleniæ pijaca,75,,,DA,DA,,650
29095,Izdavanje,Stan,2,1,0,0,TA,Beograd,Opština Voždovac,Dušanovac,51,,,DA,,,220
29096,Izdavanje,Stan,3,4,3,0,CG,Beograd,Opština Novi Beograd,Blok 37,75,,,DA,,,450
29097,Izdavanje,Stan,1,6,4,0,CG,Beograd,Opština Novi Beograd,YUBC,36,,,DA,DA,,300
29098,Izdavanje,Stan,2,24,4,0,CG,Beograd,Opština Savski venac,Beograd na vodi,62,,,DA,DA,,1800
29099,Izdavanje,Stan,3,4,1,0,TA,Beograd,Opština Èukarica,Žarkovo,65,,,DA,,,260
29100,Izdavanje,Stan,2,5,4,0,TA,Beograd,Opština Palilula,Karaburma,50,,,,,,200
29101,Izdavanje,Stan,2,13,1,0,CG,Beograd,Opština Novi Beograd,Blok 45 (TC Enjub),65,,,DA,DA,,280
29103,Izdavanje,Stan,2,4,4,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,51,,,DA,,,300
29104,Izdavanje,Stan,1,6,5,0,CG,Beograd,Opština Novi Beograd,Bežanijska kosa 2,31,,,DA,DA,,250
29105,Izdavanje,Stan,4,5,3,0,CG,Beograd,Opština Vraèar,Crveni krst,120,,,DA,DA,,1000
29106,Izdavanje,Stan,1,6,0,0,CG,Beograd,Opština Zvezdara,Lion,29,,,,DA,Stara gradnja,220
29107,Izdavanje,Stan,1,8,0,0,CG,Beograd,Opština Novi Beograd,Fontana,20,,,,DA,,250
29108,Izdavanje,Stan,2,4,0,0,CG,Beograd,Opština Novi Beograd,Blok 70 (kineski tržni centar),48,,,DA,,,300
29109,Izdavanje,Stan,2,6,4,0,CG,Beograd,Opština Novi Beograd,YUBC,80,,,DA,DA,,700
29110,Izdavanje,Stan,3,13,9,0,CG,Beograd,Opština Novi Beograd,Blok 67 (Belvil),100,,,DA,DA,,900
29112,Izdavanje,Stan,3,10,2,0,CG,Beograd,Opština Novi Beograd,Blok 67 (Belvil),69,,,DA,DA,,750
29113,Izdavanje,Stan,3,7,5,0,CG,Beograd,Opština Novi Beograd,Blok 70a,78,DA,,DA,DA,Novogradnja,550
29114,Izdavanje,Stan,2,0,4,0,CG,Beograd,Opština Novi Beograd,YUBC,87,DA,,DA,DA,Novogradnja,700
29115,Izdavanje,Stan,3,0,4,0,CG,Beograd,Opština Novi Beograd,Blok 67 (Belvil),102,,,DA,DA,Novogradnja,1300
29116,Izdavanje,Stan,2,0,1,0,CG,Beograd,Opština Vraèar,SC Vraèar,52,,,DA,DA,Novogradnja,450
29117,Izdavanje,Stan,2,23,7,0,CG,Beograd,Opština Savski venac,Beograd na vodi,55,,,DA,DA,Novogradnja,800
